Info:2020-05-28 22:35:39,150 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:35:39,311 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 22:35:39,331 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:35:39,419 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 22:35:39,436 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:35:39,497 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:35:44,068 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:35:47,712 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:35:48,835 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:35:48,869 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:35:49,099 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 22:35:49,119 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:35:49,217 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 22:35:49,235 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:35:49,297 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:35:51,378 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 22:35:57,713 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:35:57,713 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:38:39,955 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:38:43,593 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:38:44,733 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:38:44,762 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:38:44,912 - common.log_print - INFO - 对【用户名输入框】输入内容【test01】--success
Info:2020-05-28 22:38:44,926 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:38:45,008 - common.log_print - INFO - 对【密码输入框】输入内容【newdream】--success
Info:2020-05-28 22:38:45,022 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:38:45,086 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:38:51,904 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:38:55,726 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:38:56,874 - common.log_print - INFO - 登录测试用例开始
Info:2020-05-28 22:38:56,938 - common.log_print - INFO - 识别元素【用户名输入框】
Info:2020-05-28 22:38:57,085 - common.log_print - INFO - 对【用户名输入框】输入内容【admin】--success
Info:2020-05-28 22:38:57,099 - common.log_print - INFO - 识别元素【密码输入框】
Info:2020-05-28 22:38:57,176 - common.log_print - INFO - 对【密码输入框】输入内容【a12345678】--success
Info:2020-05-28 22:38:57,192 - common.log_print - INFO - 识别元素【登录按钮】
Info:2020-05-28 22:38:57,246 - common.log_print - INFO - 【登录按钮】进行点击--success
Info:2020-05-28 22:38:58,051 - common.log_print - INFO - 识别元素【用户菜单】
Info:2020-05-28 22:39:02,185 - common.log_print - INFO - 登录测试用例结束
Info:2020-05-28 22:39:02,186 - common.log_print - INFO - =======测试类结束=======
Info:2020-05-28 22:40:17,230 - common.log_print - INFO - =======测试类开始=======
Info:2020-05-28 22:40:20,829 - common.log_print - INFO - 打开浏览器地址http://106.53.50.202:8999/zentao3/www/my/--success
Info:2020-05-28 22:40:21,991 - common.log_print - INFO - 登录测试用例开始
